,tweet
0,"['i', 'would', 'responded', 'i', 'go']"
1,"['sooo', 'sad', 'i', 'miss', 'san', 'diego']"
2,"['boss', 'bullying', 'me']"
3,"['interview', 'leav']"
4,"['sons', 'could', 'not', 'releases', 'bought']"
5,"['shameless', 'plugging', 'best', 'rangers', 'forum', 'earth']"
6,"['feedings', 'baby', 'fun', 'smiles', 'coo']"
7,"['soooo', 'high']"
8,['both']
9,"['journey', 'wow', 'u', 'cooler', 'hehe', 'is', 'possible']"
10,"['love', 'hopeful', 'reckon', 'chances', 'minimal', 'i', 'm', 'gonna', 'cake', 'stuff']"
11,"['i', 'like', 'song', 'love', 'story', 'taylor', 'swift']"
12,"['my', 'sharpie', 'running', 'dangerously', 'low', 'ink']"
13,"['want', 'music', 'tonight', 'lost', 'voice']"
14,"['test', 'test', 'lg', 'env', '2']"
15,"['uh', 'oh', 'i', 'sunburn']"
16,"['s', 'ok', 'trying', 'plot', 'alternatives', 'speak', 'sigh']"
17,"['i', 've', 'sick', 'past', 'days', 'thus', 'hair', 'looks', 'wierd', 'didnt', 'hat', 'look']"
18,"['home', 'gonna', 'miss']"
19,['he']
20,"['oh', 'marly', 'i', 'am', 'sorry', 'i', 'hope', 'soon', '3', '3']"
21,"['playing', 'ghost', 'online', 'interesting', 'the', 'new', 'updates', 'kirin', 'pet', 'metamorph', 'job', 'can', 't', 'wait', 'dragon', 'pet']"
22,"['cleaning', 'house', 'family', 'comming', 'later', 'today']"
23,"['gotta', 'restart', 'i', 'thought', 'win', '7', 'supposed', 'end', 'constant', 'rebooti']"
24,"['see', 'wat', 'i', 'mean', 'bout', 'foll', '0w', 'friidays', 'it', 's', 'called', 'lose', 'f0llowers', 'friday', 'smh']"
25,"['free', 'fillin', 'app', 'ipod', 'fun', 'im', 'addict']"
26,"['i', 'am', 'sorry']"
27,"['on', 'way', 'malaysia', 'no', 'internet', 'access', 'twit']"
28,"['juss', 'came', 'backk', 'berkeleyy', 'omg', 'madd', 'fun', 'havent', 'minute', 'whassqoodd']"
29,"['went', 'sleep', 'power', 'cut', 'noida', 'power', 'work']"
30,"['i', 'am', 'going', 'home', 'now', 'have', 'seen', 'new', 'twitter', 'design', 'quite', 'heavenly', 'isn']"
31,"['hope', 'unni', 'audition', 'fighting', 'dahye', 'unni']"
32,"['if', 'consolation', 'i', 'got', 'bmi', 'tested', 'hahaha', 'says', 'i', 'obesed', 'unhappy', 'minutes']"
33,"['that', 's', 'funny', 'cute', 'kids']"
34,"['ahhh', 'i', 'slept', 'game', 'i', 'am', 'gonna', 'try', 'best', 'watch', 'tomorrow', 'though', 'i', 'hope', 'play', 'army']"
35,"['thats', 'it', 'end', 'tears', 'fears', 'vs', 'eric', 'prydz', 'dj', 'hero']"
36,"['born', 'raised', 'nyc', 'living', 'texas', 'past', 'years', 'i', 'miss', 'ni']"
37,"['case', 'wonder', 'busy', 'today', 'coming', 'adding', 'tons', 'new', 'blogs', 'updates', 'stay', 'tun']"
38,"['i', 'm', 'soooooo', 'sleeeeepy', 'day', 'o', 'school', 'today', 'sniffle']"
39,"['a', 'little', 'happy', 'wine', 'jeje', 'ok', 'it', 'ism', 'free', 'time', 'cares', 'jaja', 'love', 'day']"
40,"['car', 'happy', 'big', 'big', 'dent', 'boot', 'hoping', 'theyre', 'going', 'write', 'off', 'crossing', 'fingers', 'wait']"
41,"['im', 'avid', 'fan', 'magazine', 'love', 'magazin']"
42,['mayday']
43,"['ratt', 'rocked', 'nashville', 'tonite', 'one', 'thing', 'sucked', 'no', 'encore', 'like', 'in', 'the', 's', 'they', 'still', 'have', 'a', 'fun', 'show', 'pearcy', 'has', 'that', 'hott', 'bad', 'boy', 'look']"
44,"['i', 'love', 'to', 'but', 'i', 'am', 'available', 'pm', 'dear', 'would', 'love', 'help', 'convert', 'vids']"
45,"['the', 'girl', 'hair', 'salon', 'asked', 'shall', 'i', 'trim', 'eyebrows', 'how', 'old', 'i', 'feel']"
46,"['egh', 'blah', 'boooooooooooo', 'dunno', 'wanna', 'work', 'hangovers', 'suckkkkkk', 'im', 'drunk', 'mess']"
